time(s),p1(kPa),p2(kPa),flow(L/min),Voltage(V)
time(s),p1(kPa),p2(kPa),flow(L/min),Voltage(V)
10.97,5.94,6.3,121.8,4.03
10.98,6.02,6.33,123.26,4.03
10.99,6.04,6.36,124,4.06
11.01,6.22,6.4,126.69,4.08
11.02,6.19,6.41,125.95,4.11
11.03,6.05,6.41,124.24,4.1
11.05,6.13,6.43,125.71,4.07
11.06,6.14,6.44,125.95,4.09
11.07,6.33,6.47,128.89,4.09
11.09,6.29,6.51,127.66,4.11
11.1,6.15,6.52,126.2,4.16
11.11,6.22,6.53,127.42,4.16
11.13,6.22,6.53,127.66,4.16
11.14,6.41,6.55,130.35,4.14
11.15,6.36,6.57,129.13,4.17
11.17,6.22,6.59,127.66,4.18
11.18,6.3,6.6,129.13,4.22
11.19,6.3,6.62,129.13,4.23
11.21,6.47,6.63,131.82,4.25
11.22,6.41,6.63,130.35,4.27
11.23,6.27,6.64,128.64,4.26
11.25,6.33,6.64,129.86,4.28
11.26,6.33,6.65,129.86,4.28
11.27,6.51,6.65,132.55,4.3
11.29,6.46,6.66,131.09,4.31
11.3,6.3,6.66,129.13,4.34
11.31,6.37,6.68,130.35,4.34
11.33,6.36,6.68,130.35,4.38
11.34,6.52,6.66,132.55,4.39
11.35,6.48,6.68,131.57,4.37
11.37,6.31,6.68,129.37,4.41
11.38,6.38,6.66,130.6,4.43
11.4,6.37,6.66,130.35,4.42
11.41,6.53,6.68,132.55,4.44
11.42,6.48,6.66,131.82,4.49
11.44,6.31,6.66,129.37,4.49
11.45,6.37,6.66,130.6,4.52
11.46,6.36,6.65,130.35,4.54
11.47,6.52,6.65,132.31,4.55
11.49,6.47,6.64,131.09,4.58
11.5,6.29,6.63,128.64,4.59
11.51,6.35,6.63,129.62,4.6
11.53,6.32,6.62,129.37,4.64
11.54,6.48,6.62,131.82,4.65
11.55,6.44,6.6,130.6,4.69
11.57,6.26,6.59,127.91,4.71
11.58,6.31,6.58,129.13,4.73
11.59,6.3,6.58,128.64,4.75
11.61,6.46,6.57,131.09,4.8
11.62,6.41,6.55,129.86,4.83
11.63,6.22,6.55,127.42,4.86
11.65,6.27,6.52,128.15,4.91
11.66,6.25,6.53,127.66,4.89
11.67,6.41,6.53,130.11,4.97
11.69,6.36,6.53,128.89,5.03
11.7,6.18,6.49,126.2,5.09
11.71,6.24,6.49,127.42,5.08
11.73,6.21,6.49,127.17,5.14
11.74,6.37,6.48,129.37,5.21
11.75,6.33,6.47,128.15,5.25
11.77,6.14,6.46,125.71,5.3
11.78,6.2,6.46,126.69,5.34
11.79,6.18,6.43,126.2,5.41
11.81,6.32,6.43,128.15,5.44
11.82,6.29,6.41,127.17,5.51
11.83,6.08,6.41,124,5.54
11.85,6.13,6.37,125.22,5.62
11.86,6.1,6.36,124.49,5.62
11.88,6.24,6.35,126.69,5.68
11.89,6.2,6.3,125.46,5.74
11.9,5.98,6.3,122.04,5.73
11.92,6.02,6.26,122.78,5.81
11.93,5.99,6.25,122.29,5.83
11.94,6.1,6.19,124,5.89
11.96,6.07,6.18,122.78,5.85
11.97,5.86,6.14,119.6,5.92
11.98,5.89,6.11,120.09,5.94
12,5.86,6.08,119.35,5.98
12.01,5.98,6.04,121.07,6.01
12.02,5.93,6,119.6,6.02
12.03,5.71,5.98,116.42,6.05
12.05,5.74,5.92,116.91,6.1
12.06,5.7,5.89,115.93,6.07
12.07,5.81,5.86,117.4,6.12
12.09,5.75,5.82,115.93,6.15
12.1,5.52,5.78,112.51,6.18
12.11,5.55,5.72,113,6.2
12.13,5.5,5.7,112.02,6.18
12.14,5.61,5.66,113.49,6.24
12.15,5.55,5.6,111.78,6.27
12.17,5.31,5.55,108.11,6.25
12.18,5.34,5.53,108.6,6.27
12.19,5.3,5.47,107.62,6.32
12.21,5.41,5.43,109.34,6.31
12.22,5.34,5.39,107.38,6.35
12.23,5.11,5.32,103.96,6.38
12.25,5.14,5.28,104.45,6.34
12.26,5.09,5.23,103.23,6.39
12.27,5.2,5.2,104.94,6.4
12.29,5.12,5.15,103.23,6.43
12.3,4.89,5.11,99.56,6.46
12.31,4.92,5.08,99.8,6.49
12.33,4.86,5,98.83,6.53
12.34,4.98,4.97,100.29,6.5
12.35,4.89,4.92,98.34,6.54
12.37,4.66,4.88,94.92,6.56
12.38,4.68,4.81,95.16,6.6
12.39,4.64,4.78,94.18,6.57
12.41,4.76,4.72,95.65,6.64
12.42,4.64,4.67,92.96,6.63
12.43,4.44,4.62,90.27,6.65
12.45,4.45,4.59,90.52,6.67
12.46,4.4,4.54,89.54,6.71
12.47,4.54,4.5,91.25,6.73
12.49,4.38,4.43,88.07,6.77
12.5,4.21,4.39,85.39,6.74
12.51,4.21,4.33,85.63,6.77
12.53,4.17,4.28,84.65,6.78
12.54,4.29,4.23,86.36,6.79
12.55,4.13,4.17,83.19,6.81
12.57,3.98,4.15,80.74,6.81
12.58,3.99,4.07,80.99,6.87
12.59,3.94,4.04,80.25,6.84
12.61,4.07,4.01,81.48,6.89
12.62,3.88,3.93,78.3,6.96
12.63,3.74,3.9,76.1,6.9
12.65,3.74,3.84,76.1,6.97
12.66,3.71,3.8,75.37,6.96
12.67,3.82,3.74,76.59,7
12.69,3.61,3.71,72.92,7
12.7,3.5,3.67,71.46,7.04
12.71,3.51,3.61,71.46,7.07
12.73,3.48,3.57,70.72,7.06
12.74,3.59,3.51,71.95,7.11
12.75,3.37,3.48,68.28,7.09
12.77,3.29,3.41,67.06,7.13
12.78,3.28,3.39,66.81,7.12
12.79,3.27,3.33,66.57,7.18
12.81,3.37,3.29,67.3,7.17
12.82,3.13,3.24,63.39,7.21
12.83,3.08,3.19,62.66,7.22
12.85,3.06,3.17,62.41,7.22
12.86,3.08,3.11,62.66,7.29
12.87,3.15,3.07,62.9,7.27
12.88,2.9,3.02,58.75,7.3
12.9,2.88,2.99,58.75,7.29
12.91,2.85,2.94,58.02,7.33
12.92,2.9,2.91,58.75,7.33
12.94,2.93,2.85,58.5,7.38
12.95,2.68,2.83,54.59,7.37
12.96,2.68,2.77,54.84,7.41
12.98,2.66,2.75,54.11,7.39
12.99,2.73,2.67,55.08,7.46
13,2.73,2.67,54.35,7.39
13.02,2.49,2.63,50.44,7.48
13.03,2.5,2.58,50.93,7.51
13.04,2.45,2.55,50.2,7.5
13.06,2.56,2.51,51.42,7.51
13.07,2.52,2.46,50.2,7.54
13.08,2.28,2.44,46.53,7.52
13.1,2.3,2.4,47.02,7.56
13.11,2.25,2.38,46.29,7.57
13.12,2.39,2.31,48,7.61
13.14,2.34,2.29,46.77,7.57
13.15,2.11,2.27,43.11,7.6
13.16,2.14,2.2,43.84,7.64
13.18,2.11,2.19,43.11,7.59
13.19,2.24,2.14,45.06,7.65
13.2,2.16,2.13,42.86,7.63
13.22,1.95,2.09,39.69,7.67
13.23,1.97,2.05,40.18,7.67
13.24,1.94,2.02,39.93,7.65
13.26,2.08,2,41.64,7.67
13.27,1.97,1.96,39.44,7.69
13.28,1.79,1.92,37,7.68
13.3,1.83,1.89,37.24,7.68
13.31,1.79,1.86,36.75,7.66
13.32,1.94,1.83,38.71,7.68
13.34,1.79,1.8,36.02,7.67
13.35,1.64,1.78,33.82,7.68
13.36,1.67,1.73,34.31,7.68
13.38,1.64,1.7,33.82,7.64
13.39,1.8,1.68,35.53,7.65
13.4,1.63,1.64,32.6,7.65
13.42,1.51,1.62,30.89,7.63
13.43,1.53,1.59,31.38,7.63
13.44,1.52,1.57,31.13,7.62
13.46,1.65,1.53,32.84,7.62
13.47,1.47,1.51,29.42,7.59
13.48,1.37,1.48,28.2,7.58
13.5,1.4,1.45,28.69,7.58
13.51,1.39,1.42,28.2,7.54
13.52,1.51,1.4,29.91,7.53
13.54,1.31,1.36,26.49,7.51
13.55,1.25,1.34,25.76,7.47
13.56,1.25,1.3,25.76,7.45
13.57,1.26,1.3,26,7.4
