time(s),p(kPa),Voltage(V)
13.85,3.88,6.11
13.86,3.85,6.15
13.88,3.83,6.33
13.89,3.73,6.55
13.9,3.67,6.3
13.91,3.61,6.24
13.93,3.57,6.23
13.94,3.54,6.35
13.95,3.49,6.47
13.96,3.4,6.51
13.97,3.34,6.36
13.99,3.29,6.31
14,3.27,6.35
14.01,3.22,6.58
14.02,3.15,6.62
14.03,3.08,6.52
14.05,3.01,6.47
14.06,2.97,6.39
14.07,2.94,6.51
14.08,2.89,6.63
14.1,2.83,6.7
14.11,2.78,6.67
14.12,2.72,6.68
14.13,2.66,6.65
14.14,2.61,6.64
14.16,2.56,6.68
14.17,2.5,6.72
14.18,2.45,6.68
14.19,2.4,6.71
14.2,2.35,6.75
14.22,2.29,6.78
14.23,2.24,6.76
14.24,2.2,6.76
14.25,2.14,6.85
14.27,2.09,6.83
14.28,2.06,6.84
14.29,2,6.93
14.3,1.95,6.87
14.31,1.89,6.88
14.32,1.84,6.82
14.34,1.8,6.82
14.35,1.78,6.92
14.36,1.72,7.06
14.37,1.65,6.96
14.39,1.62,6.88
14.4,1.57,6.96
14.41,1.53,6.95
14.42,1.5,7
14.43,1.43,7.05
14.45,1.39,6.95
14.46,1.34,6.92
14.47,1.28,6.88
14.48,1.23,6.79
14.49,1.2,6.72
14.51,1.15,6.82
14.52,1.12,6.79
14.53,1.07,6.8
14.54,1.03,6.74
14.56,0.98,6.75
14.57,0.95,6.67
14.58,0.91,6.67
14.59,0.86,6.66
14.6,0.84,6.59
14.61,0.8,6.64
14.63,0.76,6.6
14.64,0.73,6.57
14.65,0.69,6.55
14.66,0.66,6.51
14.68,0.62,6.54
14.69,0.59,6.4
14.7,0.57,6.43
14.71,0.54,6.44
14.73,0.52,6.44
14.74,0.51,6.46
14.75,0.47,6.51
14.76,0.44,6.42
14.77,0.42,6.4
14.78,0.4,6.39
14.8,0.37,6.36
14.81,0.37,6.32
14.82,0.35,6.42
14.83,0.33,6.38
14.85,0.31,6.39
14.86,0.29,6.33
14.87,0.27,6.27
14.88,0.26,6.26
14.89,0.24,6.26
14.91,0.22,6.17
14.92,0.24,6.15
14.93,0.22,6.27
14.94,0.21,6.24
14.95,0.2,6.2
14.97,0.19,6.16
14.98,0.18,6.1
14.99,0.18,6.05
15,0.18,6.05
15.01,0.18,6.06
