time(s),p(kPa),Voltage(V)
15.24,0.00,4.18
15.26,0.00,4.21
15.27,0.00,5.02
15.28,0.00,5.08
15.30,0.00,4.14
15.31,0.00,3.95
15.32,0.00,5.02
15.33,0.00,5.30
15.35,0.00,4.27
15.36,0.00,3.99
15.37,0.00,4.90
15.39,0.00,5.34
15.40,0.00,4.32
15.41,0.00,4.05
15.43,0.00,4.96
15.44,0.00,5.42
15.45,0.00,4.28
15.46,0.00,4.00
15.48,0.00,4.95
15.49,0.00,5.41
15.50,0.00,4.27
15.52,0.00,4.15
15.53,0.00,5.11
15.54,0.00,5.46
15.56,0.00,4.33
15.57,0.00,4.22
15.58,0.00,5.07
15.60,0.00,5.29
15.61,0.00,4.32
15.62,0.00,4.22
15.63,0.00,5.07
15.65,0.00,5.21
15.66,0.00,4.37
15.67,0.00,4.15
15.69,0.00,5.15
15.70,0.00,5.42
15.71,0.00,4.23
15.73,0.00,4.27
15.74,0.00,5.29
15.75,0.00,5.34
15.76,0.00,4.52
15.78,0.00,4.47
15.79,0.00,5.14
15.80,0.00,5.06
15.82,0.00,4.40
15.83,0.00,4.36
15.84,0.00,5.04
15.86,0.00,5.12
15.87,0.00,4.35
15.88,0.00,4.33
15.90,0.00,5.27
15.91,0.00,5.13
15.92,0.00,4.38
15.93,0.00,4.37
15.95,0.00,5.46
15.96,0.00,5.46
15.97,0.00,4.73
15.99,0.00,4.62
16.00,0.00,5.12
16.01,0.00,5.13
16.02,0.00,4.67
16.04,0.00,4.58
16.05,0.00,4.86
16.06,0.00,5.01
16.08,0.00,4.69
16.09,0.00,4.50
16.10,0.00,4.91
16.12,0.00,5.22
16.13,0.00,4.68
16.14,0.00,4.62
16.16,0.00,5.06
16.17,0.00,5.14
16.18,0.00,4.87
16.19,0.00,4.83
16.21,0.00,5.05
16.22,0.00,5.03
16.23,0.00,4.90
16.25,0.00,4.89
16.26,0.00,4.88
16.27,0.00,5.01
16.29,0.00,5.01
16.30,0.00,5.03
16.31,0.00,4.92
16.32,0.00,4.94
16.34,0.00,5.09
16.35,0.00,5.00
16.36,0.00,5.05
16.38,0.00,5.09
16.39,0.00,5.14
16.40,0.00,5.20
16.42,0.00,5.26
16.43,0.00,5.32
16.44,0.00,5.27
16.46,0.00,5.35
16.47,0.00,5.43
16.48,0.00,5.38
16.50,0.00,5.60
16.51,0.00,5.46
16.52,0.00,5.44
16.53,0.00,5.66
16.55,0.00,5.78
16.56,0.00,5.65
16.57,0.00,5.54
16.59,0.00,5.65
16.60,0.00,5.78
16.61,0.00,5.69
16.62,0.00,5.46
16.64,0.00,5.60
16.65,0.00,5.87
16.67,0.00,5.91
16.68,0.00,5.59
16.69,0.00,5.49
16.70,0.00,5.80
16.72,0.00,5.97
16.73,0.00,5.66
16.74,0.00,5.48
16.76,0.00,5.79
16.77,0.00,6.10
16.78,0.00,5.83
16.79,0.00,5.40
16.81,0.00,5.73
16.82,0.00,6.18
16.83,0.00,5.92
16.85,0.00,5.39
16.86,0.00,5.61
16.87,0.00,6.22
16.89,0.00,6.20
16.90,0.00,5.44
16.91,0.00,5.33
16.93,0.00,6.30
16.94,0.00,6.30
16.95,0.00,5.57
16.96,0.00,5.33
16.98,0.00,6.20
16.99,0.00,6.21
17.00,0.00,5.61
17.02,0.00,5.39
17.03,0.00,6.27
17.04,0.00,6.43
17.06,0.00,5.71
17.07,0.00,5.37
17.08,0.00,6.16
17.09,0.00,6.44
17.11,0.00,5.85
17.12,0.00,5.40
17.13,0.00,6.20
17.15,0.00,6.62
17.16,0.00,5.91
17.17,0.00,5.38
17.19,0.00,6.04
17.20,0.00,6.56
17.21,0.00,6.16
17.23,0.00,5.61
17.24,0.00,6.03
17.25,0.00,6.71
17.26,0.00,6.29
17.28,0.00,5.74
17.29,0.00,5.93
17.30,0.00,6.62
17.32,0.00,6.44
17.33,0.00,5.78
